"Qty","Value","Device","Package","Parts","Description","DIGIKEY","DISP","MF","MPN","PROD_ID","VALUE","VALUE_PART",
"1","","ATTINY1634QFN","QFN20","U3","ATtiny1634 8 bit AVR Microcontroller","ATTINY1634-MURCT-ND","","Atmel","ATTINY1634-MUR","","","",
"1","","MOUNTING_HOLE2_NP","2_56","H1","Genaric Mechanical Mounting Hole","DNP","","N/A","DNP","","","",
"1","","TVSSM712","SOT23-3","D2","Generic dual channel TVS diode","CDSOT23-SM712CT-ND","","Bourns","CDSOT23-SM712","","","",
"6","0.1uF","C-EU0.1UFC0402","C0402","C1, C2, C3, C6, C9, C10","CAPACITOR, European symbol","490-4759-1-ND","","Murata","GCM155R71C104KA55D","","","",
"1","100","R-EU_100R0402","R0402","R6","RESISTOR, European symbol","311-100LRCT-ND","","Yageo","RC0402FR-07100RL","","","100",
"5","10k","R-EU_10KR0402","R0402","R2, R3, R4, R5, R8","RESISTOR, European symbol","311-10.0KLRCT-ND","","Yageo","RC0402FR-0710KL","","","10k",
"1","1k","R-EU_1KR0603","R0603","R1","RESISTOR, European symbol","311-1KLDCT-ND","","Yageo","AC0603FR-071KL","","","1k",
"2","1uF","C-EU1UFC0603","C0603","C4, C5","CAPACITOR, European symbol","1276-6524-1-ND","","Samsung","1276-6524-1-ND","","","",
"1","AVRISP-6","AVRISP-6","AVRISP","ISP1","AVR ISP HEADER","","","","","","","",
"1","DMG3404","MOSFET-NCH-DMG3404L","SOT23-3","Q2","N-channel MOSFETs","DMG3404L-7DICT-ND","","Diodes Incorporated","DMG3404L-7","","DMG3404","",
"1","LEDBLUE0603","LEDBLUE0603","LED_0603","D1","Genaric LED","732-4966-1-ND","","Wurth","150060BS75000","","","",
"1","LP39883.3VDBV","LP39883.3VDBV","DBV0005A","U5","TPS7A05* - Ultra Low Power Ultra Low Dropout Linear Regulator with Power Good","LP3988IMF-3.3/NOPBCT-ND","","TI","LP3988IMF-3.3/NOPB","","","",
"1","MCP9808MSOP","MCP9808MSOP","MSOP_8","U4","MCP9808 - Digital Temperature Sensor","MCP9808T-E/MSCT-ND","","Microchip","MCP9808T-E/MS","","","",
"1","MS580302BA","MS580302BA","MS5803","U1","MS5803 - Minature Media Compatible Pressure Sensor","223-1624-5-ND","","TE Connectivity","MS580302BA01-00","","","",
"1","NS5A4684S","NS5A4684S","WQFN10","U8","NS5A4684S - Dual Analog Multiplexer (1:2)","NS5A4684SMNTAGOSCT-ND","NS5A4684","ON Semiconductor","NS5A4684SMNTAG","","","",
"1","OSHW-LOGOM","OSHW-LOGOM","OSHW-LOGO-M","LOGO1","Open-Source Hardware (OSHW) Logo","DNP","","N/A","DNP","","","",
"1","POGO_PAD","POGO_PAD","POGO_PAD","U$12","POGO Pad","DNP","","N/A","DNP","","","",
"1","SN65HVD72DSOIC","SN65HVD72DSOIC","SO08","U2","SN65HVD72 - Half Duplex RS-485 Tranciver, with output enable","296-39179-1-ND","SN65HVD72","TI","SN65HVD72DR","","","",
"1","SOLDERCUP_CONN_QUAD","SOLDERCUP_CONN_QUAD","SOLDERCUP_CONN_QUAD","U$1","Mounting pads for a M12 barel connector","A97650-ND","","TE Connectivity","1838893-2","","","",
"1","TXS0102DQM","TXS0102DQM","DQM_R-PX2SON-N8","U7","TXS0102 - 2 Channel Bidirectional Voltage Level Translator","296-28435-1-ND","","TI","TXS0102DQMR","","","",
